Date,Category,Description,Amount,Type
2025-11-01,Salary,November Salary,52000,Income
2025-11-02,Food,Breakfast at Cafe,180,Expense
2025-11-03,Transport,Metro Recharge,350,Expense
2025-11-05,Investment,Mutual Fund Dividend,2000,Income
2025-11-08,Entertainment,Concert Ticket,1200,Expense
2025-11-11,Shopping,Winter Jacket,4500,Expense
2025-11-14,Salary,Performance Bonus,3000,Income
2025-11-17,Utilities,Water Bill,800,Expense
2025-11-21,Groceries,Weekly Grocery,2200,Expense
2025-11-26,Other,Freelance Payment,1500,Income
